repository,total_releases,failed_releases,change_failure_rate_percent
mtransitapps/ca-mississauga-miway-bus-android,1,0,0.0
Alfresco/activiti-android-app,5,0,0.0
mtransitapps/ca-montreal-stm-bus-android,1,0,0.0
jecelyin/920-text-editor-v2,9,0,0.0
hummatli/AppCrossPromoter,7,0,0.0
fridayideas/daytomato,6,5,83.33
mtransitapps/ca-kelowna-regional-transit-system-bus-android,1,0,0.0
digital-voting-pass/polling-station-app,1,1,100.0
alphadev-net/drive-mount,4,3,75.0
rcgonzalezf/weather-app-demo,1,0,0.0
seizonsenryaku/HayaiLauncher,20,0,0.0
g-timetracker/g-timetracker,3,0,0.0
NCBSinfo/NCBSinfo,10,0,0.0
novoda/android-demos,2,0,0.0
Frozen-Developers/android-cache-cleaner,14,0,0.0
Kestutis-Z/World-Weather,13,0,0.0
coder3101/Matrix-Calculator-for-Android,2,1,50.0
akvo/akvo-rsr-up,4,0,0.0
nispok/snackbar,37,14,37.84
mtransitapps/ca-laurentides-citla-bus-android,1,0,0.0
loehnertz/HSRMMedialabTimetableApp,1,1,100.0
enra64/Votenote,5,2,40.0
wKovacs64/mTorch,3,0,0.0
mtransitapps/ca-winnipeg-transit-bus-android,1,0,0.0
tbpalsulich/NYU-BusTracker-Android,4,0,0.0
AKG-Vertretungsplan/AKG-Vertretungsplan-Android,31,0,0.0
davemorrissey/subsampling-scale-image-view,21,1,4.76
pdaddyo/soundbounce,4,4,100.0
mtransitapps/ca-toronto-ttc-bus-android,1,0,0.0
bdiegel/android-giftwise,1,0,0.0
avram/zandy,8,0,0.0
plusCubed/velociraptor,32,14,43.75
mtransitapps/ca-quebec-rtc-bus-android,1,0,0.0
caarmen/FRCAndroidWidget,48,5,10.42
outlying/card-check,1,0,0.0
ianhanniballake/TripleSolitaire,10,0,0.0
midhunhk/trip-o-meter,3,2,66.67
ellenpoe/TuxRacer-SDL2,1,0,0.0
willowcheng/Makerthings-android,1,0,0.0
iTXTech/Daedalus,21,1,4.76
abhijitparida/bunk,1,0,0.0
ManojMadanmohan/dlt,6,0,0.0
timeforcoffee/timeforcoffee-android,11,1,9.09
Bearded-Hen/Android-Bootstrap,5,1,20.0
gfx/Android-HankeiN,1,0,0.0
javiersantos/AppUpdater,27,6,22.22
WangDaYeeeeee/GeometricWeather,79,0,0.0
martinohanlon/BlueDot,5,0,0.0
dereksweet/ComedyCompanion,3,0,0.0
yeokm1/nus-soc-print,12,3,25.0
oSoc14/Artoria,4,3,75.0
sawankh/MathAttack,1,0,0.0
mtransitapps/ca-toronto-ttc-light-rail-android,1,0,0.0
mtransitapps/ca-barrie-transit-bus-android,1,0,0.0
rocketshipapps/adblockfast,20,5,25.0
lpaulger/cribbage-the-game,5,5,100.0
mtransitapps/ca-vancouver-translink-train-android,1,0,0.0
dkunzler/masterpassword,26,0,0.0
